Tokens, Lexume
keyword, while
separator, (
identifier, t
operator, <
identifier, upper
separator, )
identifier, s
operator, =
real, 22.00
separator, ;
ERROR, 

identifier, file_data
operator, =
keyword, for
identifier, line
identifier, in
identifier, file_data
ERROR, 

identifier, def
identifier, next_state
separator, (
keyword, self
separator, ,
identifier, current_state
separator, ,
identifier, input_char
separator, )
separator, :
ERROR, 

keyword, return
identifier, Token
separator, (
ERROR, '
identifier, real
ERROR, '
separator, ,
identifier, test
separator, )
ERROR, 

keyword, if
separator, (
identifier, t
operator, =
identifier, j
separator, )
ERROR, 

keyword, else
separator, :
ERROR, 

